Stack,Nozzle,Name,Value,Footprint,X,Y,Rotation,Skip
13,2,D2,Zener6V,SOD123,6.6,71.91,135,0
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Reel,Nozzle,Reference,Comment,,X(mm),Y(mm),Rotation,SKip
16,2,Y1,OSC16MHZ,SMD2016,43.45,61.08,-45,0
15,2,D1,LM4040,SOT23,55.35,38.79,-90,0
25,1,Q1,IRF5406,PQFN8(5x6),12.38,82.08,90,0
25,1,Q2,IRF5406,PQFN8(5x6),6.3,82.3,-90,0
25,1,Q3,IRF5406,PQFN8(5x6),26.67,81.95,90,0
25,1,Q4,IRF5406,PQFN8(5x6),20.7,82.14,-90,0
25,1,Q5,IRF5406,PQFN8(5x6),40.78,81.5,90,0
25,1,Q6,IRF5406,PQFN8(5x6),34.91,81.55,-90,0
27,1,U1,DRV8818,TSSOP28,49.3,16.7,90,0
27,1,U2,DRV8818,TSSOP28,30.36,16.87,90,0
27,1,U3,DRV8818,TSSOP28,11.04,16.77,90,0
27,1,U4,DRV8818,TSSOP28,34.86,45.69,0,0
26,1,IC1,ATmega32M1,TQFP32(7x7),36.25,62.76,90,0
0,1,U5,A4910,LQFP48,16.99,60.7,0,0
